,ano,uf,area
0,2022,PR,18.099999999999998
0,2022,BA,142789.1
0,2022,TO,212753.19999999998
0,2022,PI,118879.20000000001
0,2022,MS,31499.1
0,2022,MA,283387.9
0,2022,DF,536.1
0,2022,PA,24368.3
0,2022,GO,98487.2
0,2002,MG,1035999.6
0,2002,MT,941572.5
0,2002,SP,19128.4
0,2002,RO,716.0000000000001
0,2002,PR,5658.7
0,2002,BA,241514.6
0,2002,TO,584183.3
0,2002,PI,173229.30000000002
0,2002,MS,542755.2999999999
0,2002,MA,466982.8
0,2002,DF,2556.3
0,2002,PA,18812.5
0,2002,GO,1333957.9000000001
0,2004,MG,826444.0
0,2004,SP,20651.4
0,2004,MT,1187689.6
0,2004,RO,4336.8
0,2004,PR,2931.7000000000003
0,2004,BA,407221.69999999995
0,2004,TO,618898.6
0,2004,PI,329192.80000000005
0,2004,DF,16415.8
0,2004,MA,580805.0
0,2004,MS,460129.50000000006
0,2004,PA,20618.8
0,2004,GO,1241487.4
0,2006,MG,492122.6
0,2006,SP,18675.6
0,2006,MT,488863.4
0,2006,RO,1769.3
0,2006,PR,3858.5
0,2006,BA,247237.0
0,2006,PI,265953.10000000003
0,2006,TO,527758.9
0,2006,MS,302031.0
0,2006,MA,484121.4
0,2006,DF,5477.200000000001
0,2006,PA,21568.5
0,2006,GO,495790.80000000005
0,2007,MT,47443.59999999999
0,2007,RO,12294.2
0,2007,TO,2745.6
0,2007,MA,3672.8000000000006
0,2007,PA,12622.900000000001
0,2008,MG,398623.6
0,2008,SP,5792.7
0,2008,MT,352523.3
0,2008,RO,2416.1
0,2008,PR,637.4999999999999
0,2008,BA,294915.10000000003
0,2008,TO,365462.4000000001
0,2008,PI,172721.2
0,2008,MS,154094.2
0,2008,MA,591316.5000000001
0,2008,DF,2097.2
0,2008,PA,14483.6
0,2008,GO,303768.2
0,2010,MG,251904.9
0,2010,MT,196073.3
0,2010,SP,7782.6
0,2010,RO,1090.5
0,2010,PR,4002.9999999999995
0,2010,BA,178199.19999999998
0,2010,PI,225767.4
0,2010,TO,366909.8
0,2010,MS,95637.59999999999
0,2010,MA,346783.7
0,2010,DF,2477.2
0,2010,PA,11163.5
0,2010,GO,294266.1
0,2012,MG,258180.69999999998
0,2012,MT,189935.7
0,2012,SP,2160.2000000000003
0,2012,RO,84.5
0,2012,PR,348.8
0,2012,BA,256449.4
0,2012,TO,349866.19999999995
0,2012,PI,180438.6
0,2012,MS,70387.6
0,2012,MA,287943.1
0,2012,DF,1259.8000000000002
0,2012,PA,165.4
0,2012,GO,198003.30000000002
0,2013,MG,187283.4
0,2013,MT,186986.9
0,2013,SP,2377.5
0,2013,RO,767.0
0,2013,PR,335.7
0,2013,BA,104852.8
0,2013,PI,187925.50000000003
0,2013,TO,288079.80000000005
0,2013,MS,48018.8
0,2013,MA,170353.1
0,2013,DF,1115.0
0,2013,PA,16960.4
0,2013,GO,153083.6
0,2014,MG,181907.5
0,2014,MT,104794.4
0,2014,SP,2462.6
0,2014,RO,1754.1000000000001
0,2014,PR,753.4999999999998
0,2014,BA,86048.50000000001
0,2014,PI,128681.7
0,2014,TO,227116.90000000002
0,2014,MS,27254.7
0,2014,MA,188401.1
0,2014,DF,2029.8000000000002
0,2014,PA,19044.800000000003
0,2014,GO,120180.09999999999
0,2015,MG,105425.7
0,2015,MT,161456.4
0,2015,SP,965.8000000000002
0,2015,RO,221.70000000000005
0,2015,PR,592.6000000000001
0,2015,BA,108111.1
0,2015,PI,77931.20000000001
0,2015,MS,58660.2
0,2015,TO,308136.5
0,2015,MA,167261.6
0,2015,DF,535.3000000000001
0,2015,PA,83.10000000000001
0,2015,GO,123520.29999999999
