,municipio,V1,V2,V3,V8,V9,V10,V17,V20,V21,V25,V26,V34,V39,uf
105,PAINEIRAS,476.0,113.511,4.22899,17.8571,0.210084,77.7311,63.3342,52.521,39.916,3593.55,0.0,48.9496,53.1513,MG
106,SANTA MERCEDES,109.0,129.602,8.81651,13.7615,29.3578,55.0459,45.8886,48.6239,15.5963,1728.97,0.0,22.0183,23.8532,SP
107,CHAPADAO DO SUL,265.0,1099.72,12.7094,29.434,1.13208,64.1509,39.5832,52.8302,14.717,7327.83,3754.8,48.8281,29.434,MS
108,ITAMOGI,793.0,21.8797,5.57125,0.75662,86.8852,11.3493,25.1246,7.81841,11.3493,4650.92,3000.0,93.3165,42.623,MG
109,ITARUMA,517.0,564.172,5.05416,2.70793,0.386847,94.971,69.1322,63.6364,31.3346,5899.92,2977.18,50.8704,31.9149,GO
110,PATOS DE MINAS,3779.0,64.84,3.56444,15.2951,3.99577,78.3276,59.2137,32.2307,48.399,7581.25,3441.61,33.7126,60.1482,MG
111,RIO VERDE DE MATO GROSSO,825.0,887.947,4.12121,9.57576,0.242424,87.8788,71.5757,70.9091,18.4242,3186.85,3118.61,31.5152,32.8485,MS
112,MORADA NOVA DE MINAS,496.0,266.171,4.30242,12.5,1.41129,73.5887,56.9746,54.0323,25.2016,7856.33,4070.07,16.7339,52.2177,MG
113,QUISSAMA,305.0,75.9029,2.81967,6.55738,8.19672,82.2951,74.4638,48.8525,20.6557,1225.35,0.0,19.1419,58.0328,RJ
114,QUIRINOPOLIS,1234.0,245.725,5.53971,9.64344,0.810373,86.0616,48.5688,50.3242,38.0875,7957.41,3417.43,32.2528,45.624,GO
115,MORRINHOS,2168.0,123.47,3.12177,10.7934,0.922509,86.024,57.8571,51.5221,35.7934,6700.61,3267.78,39.1324,46.679,GO
116,PRESIDENTE OLEGARIO,2406.0,108.229,2.66126,16.0432,2.03658,79.5511,54.6417,41.6874,42.4356,9015.01,3636.26,35.453,60.7232,MG
117,CEDRO DO ABAETE,124.0,165.525,2.41935,11.2903,0.0,88.7097,96.6955,69.3548,25.8065,3803.92,0.0,2.41935,56.4516,MG
118,BOCAIUVA,2551.0,57.7332,3.01607,33.0851,1.52881,58.7221,52.5133,50.6076,20.6586,2263.63,0.0,6.59209,55.4684,MG
119,ALTO ARAGUAIA,691.0,612.51,3.5398,5.64399,0.144718,93.0535,51.2074,75.398,16.932,5508.07,3093.23,10.1302,40.0868,MT
120,CAIAPONIA,1863.0,355.005,3.14815,9.23242,0.214707,89.3183,63.3075,61.9431,21.7391,6014.61,3455.9,16.2728,42.2974,GO
121,VICENCIA,768.0,22.0155,6.80469,34.375,16.9271,37.7604,9.40973,32.1615,1.5625,196.402,0.0,13.4211,62.5,PE
122,GUARATINGA,2121.0,78.9717,3.7157,21.0278,23.1023,54.8798,70.4784,45.8274,22.9137,492.997,0.0,17.1779,49.9764,BA
123,BARAO DE MELGACO,822.0,767.025,2.89051,9.85401,1.45985,88.1995,77.484,76.1557,2.6764,4352.02,0.0,9.74421,49.3917,MT
124,CAMPO GRANDE,1849.0,395.482,4.05408,17.5771,3.02866,68.848,64.7505,45.0514,16.5495,4403.46,3213.72,26.1763,29.7458,MS
125,BASTOS,382.0,33.8027,9.03927,8.11518,6.28272,81.9372,44.6316,35.0785,19.8953,3695.51,0.0,15.9686,36.1257,SP
126,GUIRATINGA,636.0,456.956,3.34119,8.6478,1.57233,87.4214,52.2079,68.7107,13.6792,6195.01,3406.59,28.3019,41.0377,MT
127,MAIQUINIQUE,385.0,117.283,3.65974,0.25974,1.03896,97.9221,90.7474,53.5065,39.4805,5883.61,0.0,5.97403,43.8961,BA
128,MASCOTE,567.0,82.6372,2.97002,7.58377,54.6737,32.6279,60.3138,29.2769,16.5785,1395.69,0.0,4.2328,36.5079,BA
129,SAO BRAS DO SUACUI,134.0,26.3526,1.90299,12.6866,0.0,79.8507,77.3639,49.2537,29.8507,2989.81,0.0,4.47761,56.7164,MG
130,ASSUNCAO,161.0,42.4935,2.6087,26.087,1.24224,68.9441,12.6326,39.1304,19.2547,268.272,0.0,47.8261,72.0497,PB
131,POTENGI,1376.0,12.1433,3.26453,53.1977,0.290698,32.3401,52.6448,14.3895,5.81395,863.513,396.825,65.3137,52.4709,CE
132,FLORIDA,100.0,76.682,2.98,23.0,1.0,65.0,34.5194,57.0,9.0,5608.38,3452.21,49.0,42.0,PR
133,INDIANOPOLIS,433.0,115.744,5.43418,13.164,38.1062,37.8753,17.989,34.873,14.5497,8462.75,3617.8,67.6674,54.2725,MG
134,PARANA,1469.0,326.165,3.57318,18.8564,0.272294,64.4656,34.1332,40.6399,35.0579,1028.31,0.0,8.10075,42.8182,TO
135,CUNHATAI,385.0,12.7643,2.1013,27.5325,0.0,67.5325,35.9317,32.987,49.3507,7315.22,2492.81,81.7708,60.5195,SC
136,SAO JOSE DA VITORIA,249.0,37.5778,3.53012,2.00803,82.7309,9.23695,23.2193,16.0643,3.61446,0.0,0.0,43.3735,51.4056,BA
137,SABINO,98.0,241.557,3.7449,17.3469,8.16327,65.3061,33.9661,42.8571,20.4082,7091.74,2883.96,37.7551,38.7755,SP
138,SANTA ROSA DA SERRA,426.0,56.5437,6.78169,2.34742,74.1784,22.3005,59.303,26.0563,11.0329,3582.59,0.0,72.0657,57.277,MG
139,MATOZINHOS,84.0,189.855,6.46429,19.0476,2.38095,73.8095,51.7765,40.4762,39.2857,2545.08,2917.01,23.8095,15.4762,MG
140,JABOTICATUBAS,736.0,35.3251,2.72418,22.4185,4.21196,69.4293,61.0419,31.25,41.712,3209.32,0.0,5.16304,61.0054,MG
141,BUERAREMA,571.0,27.1741,3.5972,1.05079,88.0911,9.63222,22.4248,11.2084,6.65499,0.0,0.0,22.2417,41.8564,BA
142,JUSSARA,846.0,396.418,3.78487,2.12766,0.118203,96.8085,74.4602,60.8747,33.3333,5440.13,3606.88,59.5745,43.3806,GO
143,POMPEU,815.0,214.88,5.45153,13.865,0.613497,76.319,44.0987,25.8896,61.3497,9275.12,2859.42,48.3436,49.6933,MG
